id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,json_adherent_int,task_success,task_success_int,hallucinated,hallucinated_int,hallucinated_aisles,extraction_source,llm_extraction_empty,retrieval_no_results,used_inventory_context_fallback,semantic_top_k,semantic_min_score,raw_target_aisles,grounded_target_aisles,grounding_drop_count,hallucination_source,latency_s
1,presearch,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[1],[1],0,,11.543
1,semantic,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[1],[1],0,,12.676
1,llm_only,direct,Where can I find Milk (1L)?,milk_1l,,move,[1],"You can find Milk (1L) in Aisle 1, right next to the other dairy products.",True,1,True,1,False,0,[],none,False,True,True,,,[1],[1],0,,0.894
2,presearch,direct,Do you have Large Eggs (12ct)?,eggs_large,large eggs,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1.",True,1,True,1,False,0,[],llm_extract,False,False,False,,,[1],[1],0,,1.373
2,semantic,direct,Do you have Large Eggs (12ct)?,eggs_large,large eggs,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[1],[1],0,,1.716
2,llm_only,direct,Do you have Large Eggs (12ct)?,eggs_large,,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1. Would you like me to help you find them?",True,1,True,1,False,0,[],none,False,True,True,,,[1],[1],0,,0.911
3,presearch,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],Sure! The Whole Wheat Wraps are in Aisle 2. Let me know if you need anything else!,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[2],[2],0,,1.432
3,semantic,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],Sure! Whole Wheat Wraps are in Aisle 2.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[2],[2],0,,2.528
3,llm_only,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,,move,[2],I found the Whole Wheat Wraps in Aisle 2 under the bakery section. Would you like me to help you with anything else?,True,1,True,1,False,0,[],none,False,True,True,,,[2],[2],0,,3.944
4,presearch,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],We carry Black Beans (Can) in Aisle 6.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[6],[6],0,,12.28
4,semantic,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],The Black Beans (Can) are in Aisle 6.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[6],[6],0,,2.346
4,llm_only,direct,I need Black Beans (Can).,black_beans_can,,move,[6],"Sure, I can help you find Black Beans (Can). They are located in Aisle 6, in the pantry section.",True,1,True,1,False,0,[],none,False,True,True,,,[6],[6],0,,0.84
5,presearch,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],Sure! We have Frozen Pizza in Aisle 7. There are 11 in stock at $6.80 each.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[7],[7],0,,1.377
5,semantic,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],"Sure, we have Frozen Pizza in Aisle 7.",True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[7],[7],0,,2.01
5,llm_only,direct,Can I get Frozen Pizza?,frozen_pizza,,move,[7],"Sure, I can help with that. The Frozen Pizza is in Aisle 7. Would you like me to check if there are any other items you'",True,1,True,1,False,0,[],none,False,True,True,,,[7],[7],0,,1.045
6,presearch,direct,Where is Chicken Breast (1lb)?,chicken_breast,chicken breast,move,[8],The Chicken Breast (1lb) is in Aisle 8. It's priced at $7.50 and we have 10 in stock.,True,1,True,1,False,0,[],llm_extract,False,False,False,,,[8],[8],0,,1.591
6,semantic,direct,Where is Chicken Breast (1lb)?,chicken_breast,chicken breast,move,[8],The Chicken Breast (1lb) is in Aisle 8.,True,1,True,1,False,0,[],llm_extract,False,False,False,5,0.15,[8],[8],0,,1.712
