id,mode,query_type,query,expected_items,product_terms_extracted,action,target_aisles,dialogue_snippet,json_adherent,json_adherent_int,task_success,task_success_int,hallucinated,hallucinated_int,hallucinated_aisles,latency_s
1,presearch,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1.,False,0,True,1,False,0,[],1.934
1,semantic,direct,Where can I find Milk (1L)?,milk_1l,milk,move,[1],You can find Milk (1L) in Aisle 1!,False,0,True,1,False,0,[],12.697
1,llm_only,direct,Where can I find Milk (1L)?,milk_1l,,move,[1],Of course! You can find the 1L Milk over in Aisle 1 in the dairy section.,False,0,True,1,False,0,[],1.536
2,presearch,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1!",False,0,True,1,False,0,[],1.917
2,semantic,direct,Do you have Large Eggs (12ct)?,eggs_large,eggs,move,[1],"Yes, we have Large Eggs (12ct) in Aisle 1!",False,0,True,1,False,0,[],3.356
2,llm_only,direct,Do you have Large Eggs (12ct)?,eggs_large,,move,[1],"Yes, we do! You can find the Large Eggs (12ct) in Aisle 1.",False,0,True,1,False,0,[],1.495
3,presearch,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],I can certainly help you with that! You can find the Whole Wheat Wraps in Aisle 2.,False,0,True,1,False,0,[],2.161
3,semantic,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,whole wheat wraps,move,[2],I can certainly help with that! You can find the Whole Wheat Wraps in Aisle 2.,False,0,True,1,False,0,[],12.972
3,llm_only,direct,Please help me find Whole Wheat Wraps.,tortilla_wraps,,move,[2],Of course! You can find the Whole Wheat Wraps in Aisle 2 in the bakery section.,False,0,True,1,False,0,[],2.71
4,presearch,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],Of course! You can find Black Beans (Can) in Aisle 6.,False,0,True,1,False,0,[],2.853
4,semantic,direct,I need Black Beans (Can).,black_beans_can,black beans,move,[6],I can help you with that! You can find Black Beans (Can) in Aisle 6.,False,0,True,1,False,0,[],5.184
4,llm_only,direct,I need Black Beans (Can).,black_beans_can,,move,[6],Of course! You can find the canned black beans in Aisle 6.,False,0,True,1,False,0,[],1.213
5,presearch,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],"Yes, we have Frozen Pizza in Aisle 7!",False,0,True,1,False,0,[],1.777
5,semantic,direct,Can I get Frozen Pizza?,frozen_pizza,frozen pizza,move,[7],"Yes, we have Frozen Pizza in Aisle 7!",False,0,True,1,False,0,[],2.433
5,llm_only,direct,Can I get Frozen Pizza?,frozen_pizza,,move,[7],Of course! We have Frozen Pizza available for $6.80. You can find it in Aisle 7.,False,0,True,1,False,0,[],1.44
6,presearch,direct,Where is Chicken Breast (1lb)?,chicken_breast,chicken breast,move,[8],You can find Chicken Breast (1lb) in Aisle 8!,False,0,True,1,False,0,[],1.889
6,semantic,direct,Where is Chicken Breast (1lb)?,chicken_breast,chicken breast,move,[8],You can find the Chicken Breast (1lb) in Aisle 8!,False,0,True,1,False,0,[],2.56
6,llm_only,direct,Where is Chicken Breast (1lb)?,chicken_breast,,move,[8],Of course! You can find the Chicken Breast (1lb) over in Aisle 8 in the meat and seafood section.,False,0,True,1,False,0,[],1.506
7,presearch,direct,Do you carry Dish Soap?,dish_soap,dish soap,move,[9],"Yes, we have Dish Soap available in Aisle 9!",False,0,True,1,False,0,[],1.846
7,semantic,direct,Do you carry Dish Soap?,dish_soap,dish soap,move,[9],"Yes, we carry Dish Soap in Aisle 9.",False,0,True,1,False,0,[],2.19
7,llm_only,direct,Do you carry Dish Soap?,dish_soap,,move,[9],"Yes, we do! You can find the dish soap in Aisle 9.",False,0,True,1,False,0,[],1.331
8,presearch,direct,I want Sparkling Water.,sparkling_water,sparkling water,move,[4],We have Sparkling Water available in Aisle 4!,False,0,True,1,False,0,[],1.803
8,semantic,direct,I want Sparkling Water.,sparkling_water,sparkling water,move,[4],I can certainly help you with that! You can find Sparkling Water in Aisle 4.,False,0,True,1,False,0,[],3.49
8,llm_only,direct,I want Sparkling Water.,sparkling_water,,move,[4],Of course! You can find the sparkling water in Aisle 4.,False,0,True,1,False,0,[],1.232
9,presearch,direct,Could you find Toothpaste for me?,toothpaste,toothpaste,move,[10],"Yes, I can help with that! You can find Toothpaste in Aisle 10.",False,0,True,1,False,0,[],1.943
9,semantic,direct,Could you find Toothpaste for me?,toothpaste,toothpaste,move,[10],I can certainly help with that! You can find Toothpaste in Aisle 10.,False,0,True,1,False,0,[],2.237
9,llm_only,direct,Could you find Toothpaste for me?,toothpaste,,move,[10],Of course! You can find toothpaste in Aisle 10.,False,0,True,1,False,0,[],1.293
10,presearch,direct,I'm looking for Trail Mix.,trail_mix,trail mix,move,[5],Hi there! We have Trail Mix available in Aisle 5.,False,0,True,1,False,0,[],2.693
10,semantic,direct,I'm looking for Trail Mix.,trail_mix,trail mix,move,[5],Of course! You can find the Trail Mix in Aisle 5.,False,0,True,1,False,0,[],2.837
10,llm_only,direct,I'm looking for Trail Mix.,trail_mix,,move,[5],Of course! You can find our Trail Mix in Aisle 5 with the other snacks.,False,0,True,1,False,0,[],1.657
11,presearch,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,flour; sugar; brown sugar; butter; eggs; vanilla extract; baking soda; salt; chocolate chips,move,"[6, 1]","You can pick up All-Purpose Flour, Granulated Sugar, and Iodized Salt in Aisle 6, and Unsalted Butter and Large Eggs (12",False,0,True,1,False,0,[],5.759
11,semantic,recipe,I want to bake chocolate chip cookies. What ingredients should I pick up?,flour_all_purpose; sugar_granulated; butter_unsalted; eggs_large,flour; sugar; butter; eggs; vanilla extract; baking soda; salt; chocolate chips,move,"[1, 6]",I can help you with that! We have Unsalted Butter in Aisle 1 and All-Purpose Flour in Aisle 6.,False,0,True,1,False,0,[],5.216
